"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
"06/19/2023, 03:23:00","Owasco","230619_MCOW_PB3","Raw Water","15:23:02",1,3.056,0,5.373,0,0.673,8.429,3.056,0,5.373,0,0.673,8.429,100,"Duplicate"
"06/19/2023, 03:25:42","Owasco","230619_MCOW_PB3","Raw Water","15:25:53",1,3.453,0,5.563,0,0.612,9.016,3.453,0,5.563,0,0.612,9.016,100,"Duplicate"
"06/19/2023, 03:28:00","Owasco","230619_MCOW_PB4","Raw Water","15:28:10",1,2.238,0,4.57,0,0.678,6.808,2.238,0,4.57,0,0.678,6.808,100,""
"06/19/2023, 03:36:36","Owasco","230619_MCOW_PC1","Raw Water","15:36:50",1,2.969,0,3.868,0,0.637,6.837,2.969,0,3.868,0,0.637,6.837,100,""
"06/19/2023, 03:39:00","Owasco","230619_MCOW_PC2","Raw Water","15:39:18",1,0.069,0,4.897,0,0.659,4.966,0.069,0,4.897,0,0.659,4.966,100,""
"06/19/2023, 03:41:00","Owasco","230619_MCOW_PC3","Raw Water","15:41:23",1,3.56,0,5.31,0,0.676,8.87,3.56,0,5.31,0,0.676,8.87,100,""
"06/19/2023, 03:47:00","Owasco","230619_MCOW_PC4","Raw Water","15:47:20",1,3.107,0,5.243,0,0.705,8.35,3.107,0,5.243,0,0.705,8.35,100,""
"06/19/2023, 03:54:24","MQ","CCB","Blank","15:54:44",1,0,0,0,0,0.003,0,0,0,0,0,0.003,0,100,""
"06/19/2023, 03:59:18","Owasco","230619_MCOW_NPA1","Raw Water","15:59:40",1,2.132,0,5.608,0,0.591,7.74,2.132,0,5.608,0,0.591,7.74,100,""
"06/19/2023, 04:03:54","Owasco","230619_MCOW_NPA2","Raw Water","16:03:58",1,3.955,0.271,5.469,0,0.631,9.695,3.955,0.271,5.469,0,0.631,9.695,100,""
"06/19/2023, 04:05:42","Owasco","230619_MCOW_NPA3","Raw Water","16:05:53",1,2.027,0,5.523,0,0.566,7.55,2.027,0,5.523,0,0.566,7.55,100,""
"06/19/2023, 04:13:18","Owasco","230619_MCOW_NPA4","Raw Water","16:13:40",1,2.41,0,6.152,0,0.625,8.562,2.41,0,6.152,0,0.625,8.562,100,""
"06/19/2023, 04:19:00","Owasco","230619_MCOW_NPB1","Raw Water","16:19:19",1,7.099,0,5.491,0,0.496,12.59,7.099,0,5.491,0,0.496,12.59,100,""
"06/19/2023, 04:22:00","Owasco","230619_MCOW_NPB2","Raw Water","16:22:12",1,2.364,0,4.77,0,0.671,7.134,2.364,0,4.77,0,0.671,7.134,100,"Duplicate"
"06/19/2023, 04:23:48","Owasco","230619_MCOW_NPB2","Raw Water","16:23:56",1,2.782,0,4.556,0,0.577,7.338,2.782,0,4.556,0,0.577,7.338,100,"Duplicate"
"06/19/2023, 04:25:12","Owasco","230619_MCOW_NPB3","Raw Water","16:25:38",1,6.231,0,8.86,0,0.357,15.091,6.231,0,8.86,0,0.357,15.091,100,""
"06/19/2023, 04:34:30","Owasco","230619_MCOW_NPB4","Raw Water","16:34:45",1,5.835,0,9.035,0,0.357,14.87,5.835,0,9.035,0,0.357,14.87,100,""
"06/19/2023, 04:37:12","Owasco","230619_MCOW_NPC1","Raw Water","16:37:36",1,0.712,0,2.181,0,0.692,2.893,0.712,0,2.181,0,0.692,2.893,100,""
